Substance;Formula;B;GR1;GR2
3-Carene;C10H16;27;3*-CH3 2*>CH2 2*>CH- 1*>C< 1*=CH- 1*=C<;0
3-Carene-CL(p);C10H15Cl;27;2*-CH3 3*>CH2 2*>CH- 1*>C< 1*=CH- 1*=C< 1*Cl;0
3-Carene-CL(v);C10H15Cl;27;3*-CH3 1*>CH2 3*>CH- 1*>C< 1*=CH- 1*=C< 1*Cl;1*>CHX
3-Carene-CL(t);C10H15Cl;27;3*-CH3 2*>CH2 1*>CH- 2*>C< 1*=CH- 1*=C< 1*Cl;0
3-Carene-HCL;C10H17Cl;29;3*-CH3 3*>CH2 2*>CH- 2*>C< 1*Cl;0
3-Carene-HCL-CL(p);C10H16Cl2;29;2*-CH3 4*>CH2 2*>CH- 2*>C< 2*Cl;0
3-Carene-HCL-CL(v);C10H16Cl2;29;3*-CH3 2*>CH2 3*>CH- 2*>C< 2*Cl;1*>CHX
3-Carene-HCL-CL(t);C10H16Cl2;29;3*-CH3 3*>CH2 1*>CH- 3*>C< 2*Cl;0
3-Carene-2CL;C10H16Cl2;29;3*-CH3 2*>CH2 3*>CH- 2*>C< 2*Cl;0
3-Carene-2CL-CL(p);C10H15Cl3;29;2*-CH3 3*>CH2 3*>CH- 2*>C< 3*Cl;0
3-Carene-2CL-CL(v);C10H15Cl3;29;3*-CH3 1*>CH2 4*>CH- 2*>C< 3*Cl;1*>CHX
3-Carene-2CL-CL(t);C10H15Cl3;29;3*-CH3 2*>CH2 2*>CH- 3*>C< 3*Cl;0
3-Carene-2CL(zam-pp);C10H14Cl2;27;1*-CH3 4*>CH2 2*>CH- 1*>C< 1*=CH- 1*=C< 2*Cl;0
3-Carene-2CL(zam-pv);C10H14Cl2;27;2*-CH3 2*>CH2 3*>CH- 1*>C< 1*=CH- 1*=C< 2*Cl;1*>CHX
