UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  59   CH3SH     28  CH3SH        1.877   1.676
  60   CH2SH     28  CH3SH        1.651   1.368
  61   FURFURAL  29  FURFURAL     3.168   2.484
  62   DOH       30  DOH         2.4088   2.248
  63   I         31  I            1.264   0.992
  64   BR        32  BR          0.9492   0.832
  65   CH=-C     33  CH=-C        1.292   1.088
  66   C=-C      33  CH=-C       1.0613   0.784
  67   DMSO      34  DMSO        2.8266   2.472
  68   ACRY      35  ACRY        2.3144   2.052
  69   Cl-(C=C)  36  Cl-(C=C)     0.791   0.724
  70   ACF       37  ACF         0.6948   0.524
  71   DMF       38  DMF         3.0856   2.736
  72   HCON(..   38  DMF         2.6322    2.12
  73   CF3       39  CF3          1.406    1.38
  74   CF2       39  CF3         1.0105    0.92
  75   CF        39  CF3          0.615    0.46
  76   COO       40  COO           1.38     1.2
  77   SIH3      41  SIH3        1.6035  1.2632
  78   SIH2      41  SIH3        1.4443  1.0063
  79   SIH       41  SIH3        1.2853  0.7494
  80   SI        41  SIH3         1.047  0.4099
  81   SIH2O     42  SIH2O       1.4838  1.0621
  82   SIHO      42  SIH2O        1.303  0.7639
  83   SIO       42  SIH2O       1.1044  0.4657
  84   NMP       43  NMP          3.981     3.2
  85   CCl3F     44  CCl3F       3.0356   2.644
  86   CCl2F     44  CCl3F       2.2287   1.916
  87   HCCl2F    44  CCl3F        2.406   2.116
  88   HCClF     44  CCl3F       1.6493   1.416
  89   CClF2     44  CCl3F       1.8174   1.648
  90   HCClF2    44  CCl3F        1.967   1.828
  91   CClF3     44  CCl3F       2.1721     2.1
  92   CCl2F2    44  CCl3F       2.6243   2.376
  93   AMH2      45  AMH2        1.4515   1.248
  94   AMHCH3    45  AMH2        2.1905   1.796
  95   AMHCH2    45  AMH2        1.9637   1.488
  96   AM(CH3)2  45  AMH2        2.8589   2.428
  97   AMCH3CH2  45  AMH2        2.6322    2.12
  98   AM(CH2)2  45  AMH2        2.4054   1.812
  99   C2H5O2    46  C2H5O2      2.1226   1.904
  100  C2H4O2    46  C2H5O2      1.8952   1.592
  101  CH3S      47  CH3S         1.613   1.368
  102  CH2S      47  CH3S        1.3863    1.06
  103  CHS       47  CH3S        1.1589   0.748
  104  MORPH     48  MORPH        3.474   2.796
  105  C4H4S     49  C4H4S       2.8569    2.14
  106  C4H3S     49  C4H4S       2.6908    1.86
  107  C4H2S     49  C4H4S       2.5247    1.58
  108  NCO       50  NCO         1.0567   0.732
  109  (CH2)2SU  51  (CH2)2SU    2.6869    2.12
  110  CH2CHSU   51  (CH2)2SU    2.4595   1.808
  111  IMIDAZOL  52  IMIDAZOL     2.026   0.868
  112  BTI       53  BTI          5.774   4.932

-list_of_interaction_parameters
  0   0   0.0        0.0  0.0  0.0        0.0  0.0
  0   1   86.02      0.0  0.0  -35.36     0.0  0.0
  0   2   61.13      0.0  0.0  -11.12     0.0  0.0
  0   3   76.5       0.0  0.0  -69.7      0.0  0.0
  0   4   986.5      0.0  0.0  156.4      0.0  0.0
  0   5   697.2      0.0  0.0  16.51      0.0  0.0
  0   6   1318.0     0.0  0.0  300.0      0.0  0.0
  0   7   1333.0     0.0  0.0  275.8      0.0  0.0
  0   8   476.4      0.0  0.0  26.76      0.0  0.0
  0   9   677.0      0.0  0.0  505.7      0.0  0.0
  0   10  232.1      0.0  0.0  114.8      0.0  0.0
  0   11  507.0      0.0  0.0  329.3      0.0  0.0
  0   12  251.5      0.0  0.0  83.36      0.0  0.0
  0   13  391.5      0.0  0.0  -30.48     0.0  0.0
  0   14  255.7      0.0  0.0  65.33      0.0  0.0
  0   15  206.6      0.0  0.0  -83.98     0.0  0.0
  0   16  920.7      0.0  0.0  1139.0     0.0  0.0
  0   17  287.77     0.0  0.0  -101.56    0.0  0.0
  0   18  597.0      0.0  0.0  24.82      0.0  0.0
  0   19  663.5      0.0  0.0  315.3      0.0  0.0
  0   20  35.93      0.0  0.0  91.46      0.0  0.0
  0   21  53.76      0.0  0.0  34.01      0.0  0.0
  0   22  24.9       0.0  0.0  36.7       0.0  0.0
  0   23  104.3      0.0  0.0  -78.45     0.0  0.0
  0   24  11.44      0.0  0.0  106.8      0.0  0.0
  0   25  661.5      0.0  0.0  -32.69     0.0  0.0
  0   26  543.0      0.0  0.0  5541.0     0.0  0.0
  0   27  153.6      0.0  0.0  -52.65     0.0  0.0
  0   28  184.4      0.0  0.0  -7.481     0.0  0.0
  0   29  354.55     0.0  0.0  -25.31     0.0  0.0
  0   30  3025.0     0.0  0.0  139.93     0.0  0.0
  0   31  335.8      0.0  0.0  128.0      0.0  0.0
  0   32  479.5      0.0  0.0  -31.52     0.0  0.0
  0   33  298.9      0.0  0.0  -72.88     0.0  0.0
  0   34  526.5      0.0  0.0  50.49      0.0  0.0
  0   35  689.0      0.0  0.0  -165.9     0.0  0.0
  0   36  -4.189     0.0  0.0  47.41      0.0  0.0
  0   37  125.8      0.0  0.0  -5.132     0.0  0.0
  0   38  485.3      0.0  0.0  -31.95     0.0  0.0
  0   39  -2.859     0.0  0.0  147.3      0.0  0.0
  0   40  387.1      0.0  0.0  529.0      0.0  0.0
  0   41  -450.4     0.0  0.0  -34.36     0.0  0.0
  0   42  252.7      0.0  0.0  110.2      0.0  0.0
  0   43  220.3      0.0  0.0  13.89      0.0  0.0
  0   44  -5.869     0.0  0.0  30.74      0.0  0.0
  0   45  390.9      0.0  0.0  27.97      0.0  0.0
  0   46  553.3      0.0  0.0  -11.92     0.0  0.0
  0   47  187.0      0.0  0.0  39.93      0.0  0.0
  0   48  216.1      0.0  0.0  -23.61     0.0  0.0
  0   49  92.99      0.0  0.0  -8.479     0.0  0.0
  0   50  699.13     0.0  0.0  456.19     0.0  0.0
  0   51  808.59     0.0  0.0  245.21     0.0  0.0
  0   52  -1243.0    0.0  0.0  125.36     0.0  0.0
  0   53  637.65     0.0  0.0  221.56     0.0  0.0
  1   0   -35.36     0.0  0.0  86.02      0.0  0.0
  1   1   0.0        0.0  0.0  0.0        0.0  0.0
  1   2   38.81      0.0  0.0  3.446      0.0  0.0
  1   3   74.15      0.0  0.0  -113.6     0.0  0.0
  1   4   524.1      0.0  0.0  457.0      0.0  0.0
  1   5   787.6      0.0  0.0  -12.52     0.0  0.0
  1   6   270.6      0.0  0.0  496.1      0.0  0.0
  1   7   526.1      0.0  0.0  217.5      0.0  0.0
  1   8   182.6      0.0  0.0  42.92      0.0  0.0
  1   9   448.75     0.0  0.0  56.3       0.0  0.0
  1   10  37.85      0.0  0.0  132.1      0.0  0.0
  1   11  333.5      0.0  0.0  110.4      0.0  0.0
  1   12  214.5      0.0  0.0  26.51      0.0  0.0
  1   13  240.9      0.0  0.0  1.163      0.0  0.0
  1   14  163.9      0.0  0.0  -28.7      0.0  0.0
  1   15  61.11      0.0  0.0  -25.38     0.0  0.0
  1   16  749.3      0.0  0.0  2000.0     0.0  0.0
  1   17  280.5      0.0  0.0  -47.63     0.0  0.0
  1   18  336.9      0.0  0.0  -40.62     0.0  0.0
  1   19  318.9      0.0  0.0  1264.0     0.0  0.0
  1   20  -36.87     0.0  0.0  40.25      0.0  0.0
  1   21  58.55      0.0  0.0  -23.5      0.0  0.0
  1   22  -13.99     0.0  0.0  51.06      0.0  0.0
  1   23  -109.7     0.0  0.0  160.9      0.0  0.0
  1   24  100.1      0.0  0.0  70.32      0.0  0.0
  1   25  357.5      0.0  0.0  -1.996     0.0  0.0
  1   27  76.3       0.0  0.0  16.623     0.0  0.0
  1   29  262.9      0.0  0.0  82.64      0.0  0.0
  1   32  183.8      0.0  0.0  174.6      0.0  0.0
  1   33  31.14      0.0  0.0  41.38      0.0  0.0
  1   34  179.0      0.0  0.0  64.07      0.0  0.0
  1   35  -52.87     0.0  0.0  573.0      0.0  0.0
  1   36  -66.46     0.0  0.0  124.2      0.0  0.0
  1   37  359.3      0.0  0.0  -131.7     0.0  0.0
  1   38  -70.45     0.0  0.0  249.0      0.0  0.0
  1   39  449.4      0.0  0.0  62.4       0.0  0.0
  1   40  48.33      0.0  0.0  1397.0     0.0  0.0
  1   43  86.46      0.0  0.0  -16.11     0.0  0.0
  1   45  200.2      0.0  0.0  9.755      0.0  0.0
  1   46  268.1      0.0  0.0  132.4      0.0  0.0
  1   47  -617.0     0.0  0.0  543.6      0.0  0.0
  1   48  62.56      0.0  0.0  161.1      0.0  0.0
  1   51  200.94     0.0  0.0  384.45     0.0  0.0
  1   52  -861.46    0.0  0.0  -391.81    0.0  0.0
  1   53  424.93     0.0  0.0  629.96     0.0  0.0
  2   0   -11.12     0.0  0.0  61.13      0.0  0.0
  2   1   3.446      0.0  0.0  38.81      0.0  0.0
  2   2   0.0        0.0  0.0  0.0        0.0  0.0
  2   3   167.0      0.0  0.0  -146.8     0.0  0.0
  2   4   636.1      0.0  0.0  89.6       0.0  0.0
  2   5   637.35     0.0  0.0  -50.0      0.0  0.0
  2   6   903.8      0.0  0.0  362.3      0.0  0.0
  2   7   1329.0     0.0  0.0  25.34      0.0  0.0
  2   8   25.77      0.0  0.0  140.1      0.0  0.0
  2   9   347.3      0.0  0.0  23.39      0.0  0.0
  2   10  5.994      0.0  0.0  85.84      0.0  0.0
  2   11  287.1      0.0  0.0  18.12      0.0  0.0
  2   12  32.14      0.0  0.0  52.13      0.0  0.0
  2   13  161.7      0.0  0.0  -44.85     0.0  0.0
  2   14  122.8      0.0  0.0  -22.31     0.0  0.0
  2   15  90.49      0.0  0.0  -223.9     0.0  0.0
  2   16  648.2      0.0  0.0  247.5      0.0  0.0
  2   17  -4.449     0.0  0.0  31.87      0.0  0.0
  2   18  212.5      0.0  0.0  -22.97     0.0  0.0
  2   19  537.4      0.0  0.0  62.32      0.0  0.0
  2   20  -18.81     0.0  0.0  4.68       0.0  0.0
  2   21  -144.4     0.0  0.0  121.3      0.0  0.0
  2   22  -231.9     0.0  0.0  288.5      0.0  0.0
  2   23  3.0        0.0  0.0  -4.7       0.0  0.0
  2   24  187.0      0.0  0.0  -97.27     0.0  0.0
  2   25  168.04     0.0  0.0  10.38      0.0  0.0
  2   26  194.9      0.0  0.0  1824.0     0.0  0.0
  2   27  52.068     0.0  0.0  21.497     0.0  0.0
  2   28  -10.43     0.0  0.0  28.41      0.0  0.0
  2   29  -64.69     0.0  0.0  157.29     0.0  0.0
  2   30  210.366    0.0  0.0  221.4      0.0  0.0
  2   31  113.3      0.0  0.0  58.68      0.0  0.0
  2   32  261.3      0.0  0.0  -154.2     0.0  0.0
  2   33  154.26     0.0  0.0  -101.12    0.0  0.0
  2   34  169.9      0.0  0.0  -2.504     0.0  0.0
  2   35  383.9      0.0  0.0  -123.6     0.0  0.0
