UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  0   1   -41.31    0.0  0.0  68.39     0.0  0.0
  0   2   -66.14    0.0  0.0  120.09    0.0  0.0
  0   3   291.6     0.0  0.0  -160.46   0.0  0.0
  0   4   1024.5    0.0  0.0  173.32    0.0  0.0
  0   5   917.16    0.0  0.0  -34.51    0.0  0.0
  0   6   1.44      0.0  0.0  354.53    0.0  0.0
  0   7   1094.73   0.0  0.0  1001.49   0.0  0.0
  0   8   406.47    0.0  0.0  111.28    0.0  0.0
  0   9   638.02    0.0  0.0  428.56    0.0  0.0
  0   10  260.01    0.0  0.0  66.81     0.0  0.0
  0   11  383.91    0.0  0.0  600.17    0.0  0.0
  0   12  172.77    0.0  0.0  28.84     0.0  0.0
  0   13  216.12    0.0  0.0  217.06    0.0  0.0
  0   14  740.89    0.0  0.0  778.69    0.0  0.0
  0   15  1071.1    0.0  0.0  1043.41   0.0  0.0
  0   16  54.82     0.0  0.0  72.8      0.0  0.0
  0   17  552.13    0.0  0.0  26.98     0.0  0.0
  0   18  34.75     0.0  0.0  78.34     0.0  0.0
  0   19  113.08    0.0  0.0  7.3       0.0  0.0
  0   20  5.93      0.0  0.0  43.97     0.0  0.0
  0   21  -65.19    0.0  0.0  83.18     0.0  0.0
  0   22  -374.91   0.0  0.0  -174.26   0.0  0.0
  0   23  548.98    0.0  0.0  54.7      0.0  0.0
  0   24  443.15    0.0  0.0  351.75    0.0  0.0
  0   25  294.44    0.0  0.0  61.57     0.0  0.0
  0   26  -280.0    0.0  0.0  900.0     0.0  0.0
  0   27  501.48    0.0  0.0  -164.53   0.0  0.0
  0   28  117.16    0.0  0.0  132.01    0.0  0.0
  0   29  0.9       0.0  0.0  298.65    0.0  0.0
  0   30  -82.89    0.0  0.0  -118.26   0.0  0.0
  0   31  0.7       0.0  0.0  211.83    0.0  0.0
  0   32  0.4       0.0  0.0  196.64    0.0  0.0
  0   33  100.22    0.0  0.0  201.47    0.0  0.0
  0   34  592.59    0.0  0.0  292.92    0.0  0.0
  0   35  644.31    0.0  0.0  -369.75   0.0  0.0
  0   36  262.7     0.0  0.0  51.16     0.0  0.0
  0   37  169.06    0.0  0.0  202.69    0.0  0.0
  0   38  1.06      0.0  0.0  245.7     0.0  0.0
  0   39  7.05      0.0  0.0  289.15    0.0  0.0
  1   0   68.39     0.0  0.0  -41.31    0.0  0.0
  1   1   0.0       0.0  0.0  0.0       0.0  0.0
  1   2   885.35    0.0  0.0  -266.68   0.0  0.0
  1   3   777.45    0.0  0.0  -317.69   0.0  0.0
  1   4   496.94    0.0  0.0  494.89    0.0  0.0
  1   7   777.44    0.0  0.0  520.71    0.0  0.0
  1   8   343.08    0.0  0.0  -14.04    0.0  0.0
  1   9   289.16    0.0  0.0  183.48    0.0  0.0
  1   10  -42.2     0.0  0.0  479.7     0.0  0.0
  1   15  1051.12   0.0  0.0  788.67    0.0  0.0
  1   16  231.91    0.0  0.0  -73.93    0.0  0.0
  1   17  624.24    0.0  0.0  -114.09   0.0  0.0
  1   18  256.46    0.0  0.0  -112.18   0.0  0.0
  1   20  -59.83    0.0  0.0  -78.63    0.0  0.0
  1   21  -140.49   0.0  0.0  180.78    0.0  0.0
  1   23  638.84    0.0  0.0  -39.26    0.0  0.0
  1   24  451.56    0.0  0.0  -118.72   0.0  0.0
  1   28  564.01    0.0  0.0  -216.0    0.0  0.0
  1   30  -294.21   0.0  0.0  -262.82   0.0  0.0
  1   31  7.97      0.0  0.0  150.25    0.0  0.0
  1   32  245.89    0.0  0.0  -88.93    0.0  0.0
  1   34  433.12    0.0  0.0  454.52    0.0  0.0
  1   36  1.9       0.0  0.0  91.97     0.0  0.0
  1   37  293.18    0.0  0.0  52.81     0.0  0.0
  1   38  293.66    0.0  0.0  -14.12    0.0  0.0
  1   39  5.43      0.0  0.0  172.04    0.0  0.0
  2   0   120.09    0.0  0.0  -66.14    0.0  0.0
  2   1   -266.68   0.0  0.0  885.35    0.0  0.0
  2   2   0.0       0.0  0.0  0.0       0.0  0.0
  2   3   476.28    0.0  0.0  -295.75   0.0  0.0
  2   4   611.12    0.0  0.0  140.07    0.0  0.0
  2   5   -69.95    0.0  0.0  391.11    0.0  0.0
  2   7   1198.16   0.0  0.0  150.0     0.0  0.0
  2   8   82.86     0.0  0.0  95.32     0.0  0.0
  2   9   213.7     0.0  0.0  385.39    0.0  0.0
  2   10  51.7      0.0  0.0  -46.69    0.0  0.0
  2   12  -101.85   0.0  0.0  0.67      0.0  0.0
  2   15  1349.18   0.0  0.0  150.0     0.0  0.0
  2   16  941.89    0.0  0.0  -521.82   0.0  0.0
  2   17  686.09    0.0  0.0  -222.62   0.0  0.0
  2   18  26.66     0.0  0.0  -94.73    0.0  0.0
  2   20  -78.98    0.0  0.0  56.32     0.0  0.0
  2   22  -366.52   0.0  0.0  -403.0    0.0  0.0
  2   23  293.61    0.0  0.0  -81.21    0.0  0.0
  2   24  150.41    0.0  0.0  274.44    0.0  0.0
  2   25  309.02    0.0  0.0  -86.42    0.0  0.0
  2   26  651.82    0.0  0.0  136.52    0.0  0.0
  2   27  245.18    0.0  0.0  -154.23   0.0  0.0
  2   28  72.99     0.0  0.0  -65.53    0.0  0.0
  2   29  0.1       0.0  0.0  128.05    0.0  0.0
  2   30  -227.29   0.0  0.0  -41.52    0.0  0.0
  2   31  0.05      0.0  0.0  22.93     0.0  0.0
  2   32  359.81    0.0  0.0  -188.42   0.0  0.0
  2   33  305.18    0.0  0.0  -85.73    0.0  0.0
  2   34  692.22    0.0  0.0  -160.54   0.0  0.0
  2   36  883.2     0.0  0.0  -213.18   0.0  0.0
  2   37  429.9     0.0  0.0  -4.26     0.0  0.0
  2   38  0.03      0.0  0.0  93.9      0.0  0.0
  2   39  746.19    0.0  0.0  -148.35   0.0  0.0
  3   0   -160.46   0.0  0.0  291.6     0.0  0.0
  3   1   -317.69   0.0  0.0  777.45    0.0  0.0
  3   2   -295.75   0.0  0.0  476.28    0.0  0.0
  3   3   0.0       0.0  0.0  0.0       0.0  0.0
  3   4   861.17    0.0  0.0  10.72     0.0  0.0
  3   7   616.6     0.0  0.0  674.05    0.0  0.0
  3   8   516.04    0.0  0.0  -149.74   0.0  0.0
  3   10  -58.94    0.0  0.0  215.75    0.0  0.0
  3   12  396.3     0.0  0.0  -379.66   0.0  0.0
  3   15  522.89    0.0  0.0  665.4     0.0  0.0
  3   16  -263.35   0.0  0.0  939.53    0.0  0.0
  3   17  120.99    0.0  0.0  109.35    0.0  0.0
  3   18  -310.29   0.0  0.0  651.27    0.0  0.0
  3   20  -295.03   0.0  0.0  435.31    0.0  0.0
  3   22  612.33    0.0  0.0  -386.39   0.0  0.0
  3   24  -42.91    0.0  0.0  270.92    0.0  0.0
  3   25  483.51    0.0  0.0  -125.34   0.0  0.0
  3   26  531.43    0.0  0.0  56.42     0.0  0.0
  3   27  -213.06   0.0  0.0  380.94    0.0  0.0
  3   28  -252.99   0.0  0.0  315.49    0.0  0.0
  3   29  0.54      0.0  0.0  143.36    0.0  0.0
  3   30  -185.05   0.0  0.0  283.09    0.0  0.0
  3   31  655.24    0.0  0.0  -166.21   0.0  0.0
  3   32  0.06      0.0  0.0  69.33     0.0  0.0
  3   33  572.86    0.0  0.0  -114.18   0.0  0.0
  3   34  419.04    0.0  0.0  58.14     0.0  0.0
  3   36  513.58    0.0  0.0  -170.61   0.0  0.0
  3   37  511.02    0.0  0.0  -89.97    0.0  0.0
  3   38  485.8     0.0  0.0  -144.81   0.0  0.0
  3   39  510.74    0.0  0.0  -55.69    0.0  0.0
  4   0   173.32    0.0  0.0  1024.5    0.0  0.0
  4   1   494.89    0.0  0.0  496.94    0.0  0.0
  4   2   140.07    0.0  0.0  611.12    0.0  0.0
  4   3   10.72     0.0  0.0  861.17    0.0  0.0
  4   4   0.0       0.0  0.0  0.0       0.0  0.0
  4   6   681.89    0.0  0.0  6.98      0.0  0.0
  4   8   496.06    0.0  0.0  -90.8     0.0  0.0
  4   10  594.98    0.0  0.0  69.07     0.0  0.0
  4   12  715.98    0.0  0.0  60.09     0.0  0.0
  4   17  247.54    0.0  0.0  214.03    0.0  0.0
  4   18  -174.86   0.0  0.0  576.5     0.0  0.0
  4   19  -32.26    0.0  0.0  692.83    0.0  0.0
  4   20  -167.06   0.0  0.0  815.25    0.0  0.0
  4   21  130.86    0.0  0.0  1103.29   0.0  0.0
  4   22  -398.34   0.0  0.0  61.34     0.0  0.0
  4   23  -1084.97  0.0  0.0  -769.31   0.0  0.0
  4   27  394.47    0.0  0.0  352.02    0.0  0.0
  4   28  598.7     0.0  0.0  430.6     0.0  0.0
  4   30  485.28    0.0  0.0  738.25    0.0  0.0
  4   32  -204.48   0.0  0.0  189.16    0.0  0.0
  4   34  266.44    0.0  0.0  -88.75    0.0  0.0
  4   38  0.02      0.0  0.0  52.38     0.0  0.0
  5   0   -34.51    0.0  0.0  917.16    0.0  0.0
  5   2   391.11    0.0  0.0  -69.95    0.0  0.0
  5   5   0.0       0.0  0.0  0.0       0.0  0.0
  5   6   0.02      0.0  0.0  42.35     0.0  0.0
  5   8   429.44    0.0  0.0  -205.46   0.0  0.0
  5   10  420.38    0.0  0.0  -142.82   0.0  0.0
  5   18  306.03    0.0  0.0  267.76    0.0  0.0
  5   23  56.18     0.0  0.0  335.01    0.0  0.0
  5   34  417.42    0.0  0.0  -69.97    0.0  0.0
  6   0   354.53    0.0  0.0  1.44      0.0  0.0
  6   4   6.98      0.0  0.0  681.89    0.0  0.0
  6   5   42.35     0.0  0.0  0.02      0.0  0.0
  6   6   0.0       0.0  0.0  0.0       0.0  0.0
  6   8   -34.54    0.0  0.0  143.41    0.0  0.0
  6   11  510.0     0.0  0.0  56.0      0.0  0.0
  6   13  -450.63   0.0  0.0  -87.26    0.0  0.0
  7   0   1001.49   0.0  0.0  1094.73   0.0  0.0
  7   1   520.71    0.0  0.0  777.44    0.0  0.0
  7   2   150.0     0.0  0.0  1198.16   0.0  0.0
  7   3   674.05    0.0  0.0  616.6     0.0  0.0
  7   7   0.0       0.0  0.0  0.0       0.0  0.0
  7   18  860.88    0.0  0.0  1004.59   0.0  0.0
  8   0   111.28    0.0  0.0  406.47    0.0  0.0
  8   1   -14.04    0.0  0.0  343.08    0.0  0.0
  8   2   95.32     0.0  0.0  82.86     0.0  0.0
  8   3   -149.74   0.0  0.0  516.04    0.0  0.0
  8   4   -90.8     0.0  0.0  496.06    0.0  0.0
  8   5   -205.46   0.0  0.0  429.44    0.0  0.0
  8   6   143.41    0.0  0.0  -34.54    0.0  0.0
