UNIFAC_parameters

-type
  modified

-list_of_main_groups
  85  AC2H2NH          [195]AC2H2NH [196]AC2HNH [197]AC2NH 
  86  c-CH=CH          [198]c-CH=CH [199]c-CH=C [200]c-C=C 
  87  Glycerol         [201]Glycerol 

-list_of_sub_groups
  0    CH3                      0   CH3                0.6325  1.0608
  1    CH2                      0   CH3                0.6325  0.7081
  2    CH                       0   CH3                0.6325  0.3554
  3    C                        0   CH3                0.6325     0.0
  4    CH2=CH                   1   CH2=CH             1.2832  1.6016
  5    CH=CH                    1   CH2=CH             1.2832  1.2489
  6    CH2=C                    1   CH2=CH             1.2832  1.2489
  7    CH=C                     1   CH2=CH             1.2832  0.8962
  8    C=C                      1   CH2=CH             1.2832  0.4582
  9    ACH                      2   ACH                0.3763  0.4321
  10   AC                       2   ACH                0.3763  0.2113
  11   ACCH3                    3   ACCH3                0.91   0.949
  12   ACCH2                    3   ACCH3                0.91  0.7962
  13   ACCH                     3   ACCH3                0.91  0.3769
  14   ACC                      3   ACCH3              0.5847    0.12
  15   OH(P)                    4   OH(P)              1.2302  0.8927
  16   OH(S)                    4   OH(P)               1.063  0.8663
  17   OH(T)                    4   OH(P)              0.6895  0.8345
  18   CH3OH                    5   CH3OH              0.8585  0.9938
  19   H2O                      6   H2O                1.7334  2.4561
  20   ACOH                     7   ACOH                 1.08   0.975
  21   CH3CO                    8   CH3CO              1.7048    1.67
  22   CH2CO                    8   CH3CO              1.7048  1.5542
  23   CHCO                     8   CH3CO              1.7048  1.5542
  24   CCO                      8   CH3CO              1.7048  1.5542
  25   CHO                      9   CHO                0.7173   0.771
  26   HCHO                     9   CHO                0.7173   0.771
  27   CH3COO                   10  CH3COO               1.27  1.6286
  28   CH2COO                   10  CH3COO               1.27  1.4228
  29   HCOO                     11  HCOO                  1.9     1.8
  30   CH3O                     12  CH3O               1.1434  1.6022
  31   CH2O                     12  CH3O               1.1434  1.2495
  32   CHO                      12  CH3O               1.1434  0.8968
  33   CH3NH2                   13  CH3NH2             1.6607  1.6904
  34   CH2NH2                   13  CH3NH2             1.6607  1.3377
  35   CHNH2                    13  CH3NH2             1.6607   0.985
  36   CNH2                     13  CH3NH2             1.6607   0.985
  37   CH3NH                    14  CH3NH               1.368  1.4332
  38   CH2NH                    14  CH3NH               1.368  1.0805
  39   CHNH                     14  CH3NH               1.368  0.7278
  40   CH3N                     15  CH3N               1.0746   1.176
  41   CH2N                     15  CH3N               1.0746   0.824
  42   ACNH2                    16  ACNH2              1.1849  0.8067
  43   ACNH                     16  ACNH2              1.1849   0.732
  44   ACN                      16  ACNH2              1.1849    0.61
  45   AC2H2N                   17  AC2H2N             1.4578  0.9022
  46   AC2HN                    17  AC2H2N             1.2393   0.633
  47   AC2N                     17  AC2H2N             1.0731   0.353
  48   CH3CN                    18  CH3CN              1.5575  1.5193
  49   CH2CN                    18  CH3CN              1.5575  1.1666
  50   CHCN                     18  CH3CN              1.5575  1.1666
  51   CCN                      18  CH3CN              1.5575  1.1666
  52   COOH                     19  COOH                  0.8  0.9215
  53   CH2Cl                    20  CH2Cl              0.9919  1.3654
  54   CHCl                     20  CH2Cl              0.9919  1.0127
  55   CCl                      20  CH2Cl              0.9919    0.66
  56   CH2Cl2                   21  CH2Cl2                1.8     2.5
  57   CHCl2                    21  CH2Cl2                1.8  2.1473
  58   CCl2                     21  CH2Cl2                1.8  1.7946
  59   CCl3                     22  CCl3                 2.65  2.3778
  60   CCl4                     23  CCl4                2.618  3.1863
  61   ACCl                     24  ACCl               0.5365  0.3177
  62   CH3NO2                   25  CH3NO2              2.644     2.5
  63   CH2NO2                   25  CH3NO2                2.5   2.304
  64   CHNO2                    25  CH3NO2              2.887   2.241
  65   CNO2                     25  CH3NO2              2.887   2.241
  66   ACNO2                    26  ACNO2              0.4656  0.3589
  67   CS2                      27  CS2                  1.24   1.068
  68   CH3SH                    28  CH3SH               1.289   1.762
  69   CH2SH                    28  CH3SH               1.535   1.316
  70   CHSH                     28  CH3SH              1.4232    1.21
  71   CSH                      28  CH3SH              1.1958  1.1401
  72   ACSH                     28  CH3SH              1.2887     1.2
  73   Furfural                 29  Furfural            1.299   1.289
  74   CH2(OH)-CH2(OH)          30  CH2(OH)-CH2(OH)    3.7374  3.2016
  75   -CH(OH)-CH2(OH)          30  CH2(OH)-CH2(OH)    3.5642  2.8225
  76   -CH(OH)-CH(OH)-          30  CH2(OH)-CH2(OH)     3.391  2.4434
  77   >C(OH)-CH2(OH)           30  CH2(OH)-CH2(OH)    3.1847  2.1144
  78   >C(OH)-CH(OH)-           30  CH2(OH)-CH2(OH)    3.0175  2.0562
  79   >C(OH)-C(OH)<            30  CH2(OH)-CH2(OH)     2.644   1.669
  80   I                        31  I                   1.076  0.9169
  81   Br                       32  Br                  1.209     1.4
  82   CH#C                     33  CH#C               0.9214     1.3
  83   C#C                      33  CH#C                1.303   1.132
  84   DMSO                     34  DMSO                  3.6   2.692
  85   Acrylonitrile            35  Acrylonitrile         1.0    0.92
  86   Cl?(C=C)                 36  Cl?(C=C)           0.5229  0.7391
  87   ACF                      37  ACF                0.8814  0.7269
  88   DMF                      38  DMF                   2.0   2.093
  89   HCON(CH2)2               38  DMF                 2.381   1.522
  90   CF3                      39  CF3                2.7489  2.7769
  91   CF2                      39  CF3                1.4778  1.4738
  92   CF                       39  CF3                0.8215  0.5135
  93   COO                      40  COO                   1.6     0.9
  94   c-CH2                    41  c-CH2              0.7136  0.8635
  95   c-CH                     41  c-CH2              0.3479  0.1071
  96   c-C                      41  c-CH2               0.347     0.0
  97   CH2-O-CH2                42  CH2-O-CH2          1.7023  1.8784
  98   CH2-O-[CH2-O]1/2         42  CH2-O-CH2          1.4046     1.4
  99   [O-CH2]1/2-O-[CH2-O]1/2  42  CH2-O-CH2          1.0413  1.0116
  100  HCOOH                    43  HCOOH                 0.8  1.2742
  101  CHCl3                    44  CHCl3                2.45  2.8912
  102  c-CON-CH3                45  c-CON-CH3           3.981     3.2
  103  c-CON-CH2                45  c-CON-CH3          3.7543   2.892
  104  c-CON-CH                 45  c-CON-CH3          3.5268    2.58
  105  c-CON-C                  45  c-CON-CH3          3.2994   2.352
  106  CONHCH3                  46  CONHCH3               1.5    1.08
  107  CONHCH2                  46  CONHCH3               1.5    1.08
  108  CON(CH3)2                47  CON(CH3)2          2.4748  1.9643
  109  CON(CH3)CH2              47  CON(CH3)2          2.2739  1.5754
  110  CON(CH2)2                47  CON(CH3)2          2.0767  1.1866
  111  HCONHCH3                 48  HCONHCH3           2.4617   2.192
  112  HCONHCH2                 48  HCONHCH3           2.4617   1.842
  113  ACCN                     49  ACCN               1.2815    0.96
  114  CH3NCO                   50  CH3NCO             1.9578    1.58
  115  CH2NCO                   50  CH3NCO              1.731   1.272
  116  CHNCO                    50  CH3NCO             1.5036    0.96
  117  ACNCO                    50  CH3NCO             1.4219   0.852
  118  AC2H2S                   51  AC2H2S             1.7943    1.34
  119  AC2HS                    51  AC2H2S             1.6282    1.06
  120  AC2S                     51  AC2H2S             1.4621    0.78
  121  H2COCH                   52  H2COCH             1.3601  1.8031
  122  HCOCH                    52  H2COCH             0.9104  0.6538
  123  COOCO                    53  COOCO              1.7732    1.52
  124  (CH3O)2CO                54  (CH3O)2CO          3.0613   2.816
  125  (CH2O)2CO                54  (CH3O)2CO          2.6078     2.2
  126  (CH3O)COOCH2             54  (CH3O)2CO          2.8214   2.508
  127  (ACO)COOCH2              54  (CH3O)2CO          2.2854    1.78
  128  (ACO)CO(OAC)             54  (CH3O)2CO          1.9895    1.36
  129  CH2SuCH2                 55  CH2SuCH2            2.687    2.12
  130  CH2SuCH                  55  CH2SuCH2             2.46   1.808
  131  ACSO2                    55  CH2SuCH2           1.7034    1.16
  132  ACCHO                    56  ACCHO              1.3632   1.068
  133  ACCOOH                   57  ACCOOH             1.6664   1.344
  134  AC-O-CO-CH3              58  AC-O-CO-CH3        2.2815   1.848
  135  AC-O-CO-CH2              58  AC-O-CO-CH3        2.0547    1.54
  136  AC-O-CO-CH               58  AC-O-CO-CH3        1.8273   1.228
  137  AC-O-CO-C                58  AC-O-CO-CH3        1.5999     1.0
  138  -O-CH2-CH2-OH            59  -O-CH2-CH2-OH      2.1226   1.904
  139  -O-CH-CH2-OH             59  -O-CH2-CH2-OH      1.8952   1.592
  140  -O-CH2-CH-OH             59  -O-CH2-CH2-OH      1.8952   1.592
  141  CH3-S-                   60  CH3-S-             1.6131   1.368
  142  -CH2-S-                  60  CH3-S-             1.3863    1.06
  143  >CH-S-                   60  CH3-S-             1.1589   0.748
  144  ->C-S-                   60  CH3-S-             0.9314    0.52
  145  ACS                      60  CH3-S-             1.0771    0.64
  146  c-CO-NH                  61  c-CO-NH            1.3039   1.036
  147  c-CO-O                   62  c-CO-O             1.0152    0.88
  148  CH3O-(O)                 63  CH3O-(O)           1.3889   1.328
  149  CH2O-(O)                 63  CH3O-(O)           1.1622    1.02
  150  CHO-(O)                  63  CH3O-(O)           0.9347   0.708
  151  CO-(O)                   63  CH3O-(O)           1.0152    0.88
  152  ACO-(O)                  63  CH3O-(O)            0.853     0.6
  153  CFH                      64  CFH                0.5966    0.44
  154  CFCl                     65  CFCl               1.4034   1.168
  155  CFCl2                    66  CFCl2              2.2103   1.896
  156  CF2H                     67  CF2H               0.9736    0.88
  157  CF2ClH                   68  CF2ClH             1.7396     1.6
  158  CF2Cl2                   69  CF2Cl2             2.5873   2.336
  159  CF3H                     70  CF3H               1.3507    1.32
  160  CF3Cl                    71  CF3Cl              2.1575   2.048
  161  CF4                      72  CF4                1.7278    1.76
  162  C(O)2                    73  C(O)2              0.7073    0.48
  163  CH(O)2                   73  C(O)2              0.9347   0.708
  164  CH2(O)2                  73  C(O)2              0.9347   0.708
  165  ACN(CH3)2                74  ACN(CH3)2          2.4529   1.908
  166  ACN(CH3)CH2              74  ACN(CH3)2          2.2261     1.6
  167  ACN(CH2)2                74  ACN(CH3)2          1.9993   1.292
  168  ACNHCH3                  75  ACNHCH3            1.7989   1.364
  169  ACNHCH2                  75  ACNHCH3            1.5722   1.056
  170  ACNHCH                   75  ACNHCH3            1.3448   0.744
  171  AC2H2O                   76  AC2H2O             1.3065    1.04
  172  AC2HO                    76  AC2H2O             1.1404    0.76
  173  AC2O                     76  AC2H2O             0.9743    0.48
  174  c-CH2-NH                 77  c-CH2-NH            1.207   0.936
  175  c-CH-NH                  77  c-CH2-NH           0.9796   0.624
  176  c-C-NH                   77  c-CH2-NH           0.7521   0.396
  177  c-CH2-NCH3               78  c-CH2-NCH3         1.8609    1.48
  178  c-CH2-NCH2               78  c-CH2-NCH3         1.6341   1.172
  179  c-CH2-NCH                78  c-CH2-NCH3         1.4067    0.86
  180  c-CH-NCH3                78  c-CH2-NCH3         1.6335   1.168
  181  c-CH-NCH2                78  c-CH2-NCH3         1.4067    0.86
  182  c-CH-NCH                 78  c-CH2-NCH3         1.1793   0.548
  183  SiH3-                    79  SiH3-              1.6035   1.263
  184  -SiH2-                   79  SiH3-              1.4443   1.006
  185  >SiH-                    79  SiH3-              1.2853   0.749
  186  >Si<                     79  SiH3-               1.047    0.41
  187  -SiH2-O-                 80  -SiH2-O-           1.4838   1.062
  188  >SiH-O-                  80  -SiH2-O-            1.303   0.764
  189  ->Si-O-                  80  -SiH2-O-           1.1044   0.466
  190  CH=NOH                   81  CH=NOH              1.499    1.46
  191  C=NOH                    81  CH=NOH              1.499    1.46
  192  ACCO                     82  ACCO               1.1365    0.76
  193  C2Cl4                    83  C2Cl4               3.381  3.5845
  194  c-CHH2                   84  c-CHH2             1.2261   1.096
  195  AC2H2NH                  85  AC2H2NH             1.325   0.752
  196  AC2HNH                   85  AC2H2NH            1.0976    0.44
  197  AC2NH                    85  AC2H2NH            0.8701   0.212
  198  c-CH=CH                  86  c-CH=CH            1.0897   0.832
  199  c-CH=C                   86  c-CH=CH            0.8616   0.644
  200  c-C=C                    86  c-CH=CH            0.5498   0.244
  201  Glycerol                 87  Glycerol           5.4209   4.422

-list_of_interaction_parameters
  0   0   0         0         0            0         0         0          
  0   1   257.05    -0.1011   0.0          -125.99   -0.1271   0.0        
  0   2   137.14    -0.32     0.0012503    65.28     -0.4342   -0.000194  
  0   3   -22.55    -0.4158   6.3473e-05   169.14    -0.3624   0.00093857 
  0   4   3119.2    -6.073    0.0023986    1857.23   -8.7982   0.010757   
  0   5   1037.92   0.816     0.0          94.61     -0.5052   0.0        
  0   6   1391.3    -3.6156   0.001144     -17.25    0.8389    0.0009021  
  0   7   1070.74   -0.7685   0.0          2597.16   -4.8864   0.0        
  0   8   175.24    1.1209    0.0          282.42    -1.2006   0.0        
  0   9   864.14    0.0       0.0          569.78    0.0       0.0        
  0   10  113.19    1.8837    -0.0038391   737.0     -3.0713   0.0031041  
  0   11  521.38    -0.5881   0.0003446    237.35    -0.7084   -0.00019047
  0   12  204.31    -0.5302   0.0          -0.39     0.3745    0.0        
  0   13  -178.35   5.0636    -0.010134    316.72    -2.6579   0.0033917  
  0   14  799.62    -1.7341   0.0          -37.73    -0.1101   0.0        
  0   15  -664.03   2.5482    0.0015386    542.7     -0.2562   -0.0060572 
  0   16  -5103.18  39.2626   -0.059394    11279.3   -56.4842  0.071276   
  0   17  941.53    -5.9816   0.010003     180.43    0.3212    -0.0033627 
  0   18  732.9     0.0947    0.0          92.68     -0.7171   0.0        
  0   19  1443.33   -4.902    0.011595     1874.82   -5.2344   0.00082871 
  0   20  267.83    0.1764    0.0          26.22     -0.4867   0.0        
  0   21  -216.89   1.0618    0.0          314.21    -1.0927   0.0        
  0   22  -699.6    5.4279    -0.009189    1042.84   -6.849    0.010254   
  0   23  257.36    -1.6832   0.0033128    -153.06   1.1513    -0.002505  
  0   24  2672.92   -16.8364  0.0          2557.77   -6.9014   0.0        
  0   25  2330.94   -13.2964  0.021997     -374.74   2.987     -0.0061657 
  0   26  3019.92   -2.8981   0.0          952.1     -3.8152   0.0        
  0   27  40.27     1.325     0.0          67.17     -1.0682   0.0        
  0   28  471.83    -0.7861   0.0          -61.6     -0.0541   0.0        
  0   29  719.02    0.9195    0.0          211.34    -1.1229   0.0        
  0   30  972.55    -0.3917   0.0          -241.49   0.2582    0.0        
  0   31  500.72    -0.1323   0.0          231.2     -0.9521   0.0        
  0   32  178.26    1.7971    -0.0030227   137.44    -1.7559   0.0020405  
  0   33  497.24    -0.9034   0.0          22.42     0.023     0.0        
  0   34  -498.67   3.6653    0.0          460.82    -2.1701   0.0        
  0   35  1465.58   -0.9806   0.0          157.11    -1.1171   0.0        
  0   36  -106.73   -0.2841   0.0          120.32    0.711     0.0        
  0   37  663.28    -1.8417   -0.00015867  -165.35   -0.3578   0.0015565  
  0   38  -69.75    2.2727    -0.0014881   -211.89   1.5162    -0.0037412 
  0   39  9.24      -0.5011   -0.00016331  137.58    0.4602    0.00019504 
  0   40  980.87    -2.718    0.0          338.63    -0.3346   0.0        
  0   41  -183.15   0.9362    -0.0021157   287.64    -1.5321   0.0031384  
  0   42  31.36     0.7889    -0.0020935   213.49    -1.3497   0.002315   
  0   43  -1576.18  6.6648    0.0          803.79    -2.2809   0.0        
  0   44  156.66    -0.1689   0.0          -44.1     -0.0324   0.0        
  0   45  486.51    -1.6797   0.0          -108.75   1.483     0.0        
  0   46  1793.04   0.2714    0.0          186.18    -0.9358   0.0        
  0   47  1558.71   -6.2609   0.008895     96.82     -0.2297   -0.0019236 
  0   48  -927.47   7.1798    -0.0086758   243.79    -1.2401   0.00030939 
  0   50  -432.51   0.8544    0.0          -125.13   0.9312    0.0        
  0   51  -1254.22  4.741     0.0          762.23    -3.2159   0.0        
  0   52  31.15     0.9618    0.0          435.36    -1.6469   0.0        
  0   53  1178.99   -1.0258   0.0          656.12    -1.3615   0.0        
