UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   CH2       [0]CH3 [1]CH2 [2]CH [3]C 
  31   TRIOXAN     13  c-CH2O      1.0413  1.0116  #example 1,3,5 - trioxane: 3 c-(CH2)1/2O(CH2)1/2
  32   CH3NH2      14  CH2NH2      1.6607  1.6904  #example Methylamine: 1 CH3NH2
  33   CH2NH2      14  CH2NH2      1.6607  1.3377  #example Propylamine: 1 CH3, 1 CH2, 1 CH2NH2
  34   CHNH2       14  CH2NH2      1.6607  0.9850  #example Isopropylamine: 2 CH3, 1 CHNH
  35   CNH2        14  CH2NH2      1.6607  0.9850  #example tert-butylamine: 3 CH3, 1 CNH2
  36   CH3NH       15  CH2NH       1.3680  1.4332  #example Dimethylamine: 1 CH3, 1 CH3NH
  37   CH2NH       15  CH2NH       1.3680  1.0805  #example Diethylamine: 2 CH3, 1 CH2, 1 CH2NH
  38   CHNH        15  CH2NH       1.3680  0.7278  #example Diisopropylamine: 4 CH3, 1 CH, 1 CHNH
  39   CH3N        16  (C)3N       1.0746  1.1760  #example Trimethylamine: 2 CH3, 1 CH3N
  40   CH2N        16  (C)3N       1.0746  0.8240  #example Triethylamine: 3 CH3, 2 CH2, 1 CH2N
  41   ACNH2       17  ACNH2       1.1849  0.8067  #example Aniline: 5 ACH, 1 ACNH2
  42   AC2H2N      18  PYRIDINE    1.4578  0.9022  #example 2,5-Dimethylpyridine: 2 CH3, 1 C2N, 3 ACH
  43   AC2HN       18  PYRIDINE    1.2393  0.6330  #example 3-Methylpyridine: 1 CH3, 1 C2HN, 3 ACH
  44   AC2N        18  PYRIDINE    1.0731  0.3530  #example Pyridine: 1 C2H2N, 3 ACH
  45   CH3CN       19  CH2CN       1.5575  1.5193  #example Acetonitrile: 1 CH3CN
  46   CH2CN       19  CH2CN       1.5575  1.1666  #example Propionitrile: 1 CH3, 1 CH2CN
  47   COOH        20  COOH        0.8000  0.9215  #example Acetic acid: 1 CH3, 1 COOH
  48   HCOOH       21  HCOOH       0.8000  1.2742  #example Formic acid: 1 HCOOH
  49   CH2CL       22  CCL         0.9919  1.3654  #example 1-Chlorobutane: 1 CH3, 2 CH2, 1 CH2Cl
  50   CHCL        22  CCL         0.9919  1.0127  #example 2-Chloropropane: 2 CH3, 1 CHCl
  51   CCL         22  CCL         0.9919  0.6600  #example 2-Chloro-2-methylpropane: 3 CH3, 1 CCl
  52   CH2CL2      23  CCL2        1.8000  2.5000  #example Dichloromethane: 1 CH2Cl2
  53   CHCL2       23  CCL2        1.8000  2.1473  #example 1,1-Dichloroethane: 1 CH3, 1 CHCl2
  54   CCL2        23  CCL2        1.8000  1.7946  #example 2,2-Dichloropropane: 2 CH3, 1 CCl2
  55   CHCL3       24  CHCL3       2.4500  2.8912  #example Chloroform: 1 CHCl3
  56   CCL3        25  CCL3        2.6500  2.3778  #example 1,1,1-Trichloroethane: 1 CH3, 1 CCl3
  57   CCL4        26  CCL4        2.6180  3.1836  #example Tetrachloromethane: 1 CCl4
  58   ACCL        27  ACCL        0.5365  0.3177  #example Chlorobenzene: 5 ACH, 1 ACCl
  59   CH3NO2      28  CNO2        2.6440  2.5000  #example Nitromethane: 1 CH3NO2
  60   CH2NO2      28  CNO2        2.5000  2.3040  #example 1-Nitropropane: 1 CH3, 1 CH2, 1 CH2NO2
  61   CHNO2       28  CNO2        2.8870  2.2410  #example 2-Nitropropane: 2 CH3, 1 CHNO2
  62   ACNO2       29  ACNO2       0.4656  0.3589  #example Nitrobenzene: 5 ACH, 1 ACNO2
