hexane: 2*CH3 4*CH2
toluene: 5*ACH 1*ACCH3
propanol-2: 2*CH3 1*CH 1*OH(S)
propanol-1: 1*CH3 2*CH2 1*OH
water: 1*H2O
methanol: 1*CH3OH
ethanol: 1*CH3 1*CH2 1*OH
octanol-1: 1*CH3 7*CH2 1*OH
acetonitrile: 1*CH3CN
c6: 2*CH3 4*CH2
c8: 2*CH3 6*CH2
c9: 2*CH3 7*CH2
c10: 2*CH3 8*CH2
c11: 2*CH3 9*CH2
c12: 2*CH3 10*CH2
c13: 2*CH3 11*CH2
c14: 2*CH3 12*CH2
c15: 2*CH3 13*CH2
c16: 2*CH3 14*CH2
c17: 2*CH3 15*CH2
c18: 2*CH3 16*CH2
1m-biphenyl: 9*ACH 2*AC 1*ACCH3
1m-biphenyl2: 9*ACH 3*AC 1*CH3 1*CH2
2m-biphenyl: 8*ACH 2*AC 2*ACCH3
2m-biphenyl2: 8*ACH 4*AC 2*CH3 1*CH2
3m-biphenyl: 7*ACH 2*AC 3*ACCH3
1m-fluorene: 8*ACH 4*AC 1*ACCH3
2m-fluorene: 7*ACH 4*AC 2*ACCH3
pyridine: 1*C5H5N
2-methylpyridine: 1*CH3 1*C5H4N
carbazole: 1*C5H5N
tiophen: 1*C4H4S
pyrole: 1*C4H8N+
dibenzotiophen: 1*C4H4S
-----------------------------------: 1*CH3
propylnaphthalene: 7*ACH 2*AC 1*ACCH2 1*CH2 1*CH3
isopropylnaphthalene: 7*ACH 2*AC 1*ACCH 2*CH3
methylethylnaphthalene: 6*ACH 2*AC 1*ACCH2 1*CH3 1*ACCH3
ethylanthracene: 9*ACH 4*AC 1*ACCH2 1*CH3
-----------------------------------: 1*CH3
1,2,3,4-tetrahydronaphthalene_v: 4*ACH 2*ACCH2 2*CH2
1,2,3,4-tetrahydronaphthalene: 4*ACH 2*AC 4*CH2
methyl-1,2,3,4-tetrahydronaphthalene: 3*ACH 2*AC 4*CH2 1*ACCH3
dimethyl-1,2,3,4-tetrahydronaphthalene: 2*ACH 2*AC 4*CH2 2*ACCH3
trimethyl-1,2,3,4-tetrahydronaphthalene: 1*ACH 2*AC 4*CH2 3*ACCH3
naphthalene: 8*ACH 2*AC
methylnaphthalene: 7*ACH 2*AC 1*ACCH3
ethylnaphthalene: 7*ACH 2*AC 1*ACCH2 1*CH3
dimethylnaphthalene: 6*ACH 2*AC 2*ACCH3
trimethylnaphthalene: 5*ACH 2*AC 3*ACCH3
tetramethylnaphthalene: 4*ACH 2*AC 4*ACCH3
fluorene: 9*ACH 4*AC
fluorene_v: 8*ACH 4*AC 2*CH2
methylfluorene: 8*ACH 4*AC 1*ACCH3
dimethylfluorene: 7*ACH 4*AC 2*ACCH3
biphenyl: 10*ACH 2*AC
biphenyl_v: 10*ACH 2*AC 1*CH2
methylbiphenyl_v: 9*ACH 2*AC 1*CH2 1*CH3
diphenylmethane: 10*ACH 1*AC 1*ACCH2
diphenylmethane_v: 10*ACH 2*AC 1*CH2
anthracene: 10*ACH 4*AC
methylanthracene: 9*ACH 4*AC 1*ACCH3
dimethylanthracene: 8*ACH 4*AC 2*ACCH3
trimethylanthracene: 7*ACH 4*AC 3*ACCH3
pyrene: 10*ACH 6*AC
methylpyrene: 9*ACH 6*AC 1*ACCH3
dimethylpyrene: 8*ACH 6*AC 2*ACCH3
