Group;Symbol;Rk;Qk
78;c-CH2-NH;1.207;0.936
78;c-CH-NH;0.9796;0.624
78;c-C-NH;0.7521;0.396
79;c-CH2-NCH3;1.8609;1.48
79;c-CH2-NCH2;1.6341;1.172
79;c-CH2-NCH;1.4067;0.86
79;c-CH-NCH3;1.6335;1.168
79;c-CH-NCH2;1.4067;0.86
79;c-CH-NCH;1.1793;0.548
80;SiH3-;1.6035;1.263
80;-SiH2-;1.4443;1.006
80;>SiH-;1.2853;0.749
80;>Si<;1.047;0.41
81;-SiH2-O-;1.4838 ;1.062
81;>SiH-O-;1.303;0.764
81;->Si-O-;1.1044;0.466
82;CH=NOH;1.499;1.46
82;C=NOH;1.499;1.46
83;ACCO;1.1365;0.76
84;C2Cl4;3.381;3.5845
92;c-CHH2;1.2261;1.096
95;c-CH=CH;1.0897;0.832
95;c-CH=C;0.8616;0.644
95;c-C=C;0.5498;0.244
96;Glycerol;5.4209;4.4227
