194;ACSH;benzenethiol;5 ACH, 1 ACSH;
(30) Furfural;;;;
61;Furfural;furfural;1 furfural;
(31) DOH;;;;
62;CH2(OH)-CH2(OH);1,2-ethanediol;1 CH2(OH)-CH2(OH);
205;-CH(OH)-CH2(OH);1,2-propylene glycol;1 CH3, 1 -CH(OH)-CH2(OH);
206;-CH(OH)-CH(OH)-;2,3-butanediol;2 CH3, 1-CH(OH)-CH(OH)-;
207;>C(OH)-CH2(OH);2-methyl-2,3-propanediol;2 CH3, 1 >C(OH)-CH2(OH);
208;>C(OH)-CH(OH)-;2-methyl-2,3-butanediol;3 CH3, 1 >C(OH)-CH(OH)-;
209;>C(OH)-C(OH)<;2,3-dimethyl-2,3-butanediol;4 CH3, 1 >C(OH)-C(OH)<;
(32) I;;;;
63;I;ethyl iodide;1 CH3, 1 CH2, 1 I;
(33) Br;;;;
64;Br;ethyl bromide;1 CH3, 1 CH2, 1 Br;
(34) C#C;;;;
65;CH#C;1-hexyne;1 CH3, 3 CH2, 1 CH#C;
66;C#C;2-hexyne;2 CH3, 2 CH2, 1 C#C;
(35) DMSO;;;;
67;DMSO;dimethyl sulfoxide;1 DMSO;
(36) Acrylonitrile;;;;
68;Acrylonitrile;acrylonitrile;1 acrylonitrile;
(37) Cl-(C=C);;;;
69;Cl?(C=C);trichloroethylene;1 CH=C, 3 Cl(C=C);
(38) ACF;;;;
71;ACF;hexafluorobenzene;;6 ACF
(39) DMF;;;;
72;DMF;N,N-dimethylformamide;1 DMF;
73;HCON(CH2)2;N,N-diethylformamide;2 CH3, 1 HCON(CH2)2;
(40) CF2;;;;
74;CF3;1,1,1-trifluoroethane;1 CH3, 1 CF3;
75;CF2;perfluorohexane;2 CF3, 4 CF2;
76;CF;perfluoromethylcyclohexane;1 CF3, 5 CF2, 1 CF;
(41) COO;;;;
77;COO;methyl acrylate;1 CH3, 1 CH2=CH, 1 COO;
(42) c-CH2;;;;
78;c-CH2;cyclohexane;6 c-CH2;
79;c-CH;methylcyclohexane;1 CH3, 5 c-CH2, 1 c-CH;
80;c-C;1,1-dimethylcyclohexane;2 CH3, 5 c-CH2, 1 c-C;
(43) c-CH2O;;;;
27;CH2-O-CH2;tetrahydrofuran;2 c-CH2, 1 c-CH2OCH2;
83;CH2-O-[CH2-O]1/2;1,3-dioxane;1 c-CH2, 2 c-CH2O[CH2]1/2;
84;[O-CH2]1/2-O-[CH2-O]1/2;1,3,5-trioxane;3 c-[CH2]1/2-O-[CH2]1/2;
(44) HCOOH;;;;
43;HCOOH;formic acid;1 HCOOH;
(45) CHCl3;;;;
50;CHCl3;chloroform;1 CHCl3;
(46) c-CONC;;;;
86;c-CON-CH3;N-methylpyrrolidone;1 c-CON-CH3, 3 c-CH2;
87;c-CON-CH2;N-ethylpyrrolidone;1 c-CON-CH2, 3 c-CH2, 1 CH3;
88;c-CON-CH;N-isopropylpyrrolidone;1 c-CON-CH, 3 c-CH2, 2 CH3;
89;c-CON-C;N-tert-butylpyrrolidone;1 c-CON-C, 3 c-CH2, 3 CH3;
(47) CONR;;;;
92;CONHCH3;N-methylacetamide;1 CH3, 1 CONHCH3;
100;CONHCH2;N-ethylacetamide;2 CH3, 1 CONHCH2;
(48) CONR2;;;;
101;CON(CH3)2;N,N-dimethylacetamide;1 CH3, 1 CON(CH3)2;
102;CON(CH3)CH2;N,N-methylethylacetamide;2 CH3, 1 CONCH2(CH3);
103;CON(CH2)2;N,N-diethylacetamide;3 CH3, 1 CON(CH2)2;
(49) HCONR;;;;
93;HCONHCH3;N-methylformamide;1 HCONHCH3;
94;HCONHCH2;N-ethylformamide;1 CH3, 1 HCONHCH2;
(50) ACCN;;;;
116;ACCN;benzonitrile;1 ACCN,  5 ACH;
(51) NCO;;;;
117;CH3NCO;methyl isocyanate;1 CH3NCO;
118;CH2NCO;ethyl isocyanate;1 CH2NCO, 1 CH3;
119;CHNCO;isopropyl isocyanate;1 CHNCO, 2 CH3;
120;ACNCO;phenyl isocyanate;1 ACNCO, 5 ACH;
(52) ACS;;;;
104;AC2H2S;thiophene;2 ACH, 1 AC2H2S;
105;AC2HS;2-methylthiophene;1 CH3, 2 ACH, 1 AC2S;
106;AC2S;2,5-dimethylthiophene;2 CH3, 2 ACH, 1 AC2S;
(53) Epoxy;;;;
107;H2COCH;propylene oxide;1 H2COCH, 1 CH3;
109;HCOCH;2,3-epoxybutane;1 HCOCH, 2 CH3;
(54) Anhydride;;;;
121;COOCO;acetic anhydride;1 COOCO, 2 CH3;
(55) Carbonate;;;;
112;(CH3O)2CO;dimethyl carbonate;1 (CH3O)2CO;
113;(CH2O)2CO;diethyl carbonate;1 (CH2O)2CO, 2 CH3;
