32;;;;
i;j;a(i.j);0;0
12;12;0;0;0
12;13;1919;0;0
12;14;57.70;0;0
13;9;-337.3;0;0
13;10;-101.3;0;0
13;11;1051;0;0
13;12;-115.7;0;0
13;13;0;0;0
13;14;-117.6;0;0
13;15;-96.62;0;0
13;16;19.77;0;0
14;10;58.84;0;0
14;11;1090;0;0
14;12;-46.13;0;0
14;13;1417;0;0
14;14;0;0;0
14;15;-235.7;0;0
15;10;52.38;0;0
15;13;1402;0;0
15;14;461.3;0;0
15;15;0;0;0
15;16;301.1;0;0
16;10;483.9;0;0
16;11;-47.51;0;0
16;13;337.1;0;0
16;15;225.4;0;0
16;16;0;0;0
17;10;550.6;0;0
17;12;808.8;0;0
17;13;437.7;0;0
17;14;-132.9;0;0
17;15;-197.7;0;0
17;16;-21.35;0;0
18;10;342.2;0;0
18;12;203.1;0;0
18;13;370.4;0;0
18;14;176.5;0;0
18;15;-20.93;0;0
18;16;-157.1;0;0
19;9;1616;0;0
19;10;550;0;0
19;12;70.14;0;0
19;13;438.1;0;0
19;14;129.5;0;0
19;15;113.9;0;0
19;16;11.8;0;0
20;10;190.5;0;0
20;13;1349;0;0
20;14;-246.3;0;0
21;10;-349.2;0;0
21;14;2.41;0;0
22;9;-860.3;0;0
22;10;857.7;0;0
22;13;681.4;0;0
23;10;377;0;0
23;13;152.4;0;0
23;15;-94.49;0;0
24;9;-230.4;0;0
24;10;211.6;0;0
25;9;523;0;0
25;10;82.77;0;0
25;12;-75.23;0;0
25;13;-1707;0;0
25;14;29.86;0;0
27;9;-227.7;0;0
27;12;-201.9;0;0
28;10;417.4;0;0
28;12;123.2;0;0
28;13;639.7;0;0
30;12;-281.9;0;0
1;1;0;0;0
1;2;74.54;0;0
1;3;-114.8;0;0
1;4;-115.7;0;0
1;5;644.6;0;0
1;6;329.6;0;0
1;7;310.7;0;0
1;8;1300;0;0
2;1;292.3;0;0
2;2;0;0;0
2;3;340;0;0
2;4;4102;0;0
2;5;724.4;0;0
2;6;1731;0;0
2;7;1731;0;0
2;8;896.0;0;0
3;1;156.5;0;0
3;2;-94.78;0;0
3;3;0;0;0
3;4;167;0;0
3;5;703.9;0;0
3;6;511.5;0;0
3;7;577.3;0;0
3;8;859.4;0;0
4;1;104.4;0;0
4;2;-269.7;0;0
4;3;-146.8;0;0
4;4;0;0;0
4;5;4000;0;0
4;6;136.6;0;0
4;7;906.8;0;0
4;8;5695;0;0
5;1;328.2;0;0
5;2;470.7;0;0
5;3;-9.21;0;0
5;4;1.270;0;0
5;5;0;0;0
5;6;937.3;0;0
5;7;991.3;0;0
5;8;28.73;0;0
6;1;-136.7;0;0
6;2;-135.7;0;0
6;3;-223;0;0
6;4;-162.6;0;0
6;5;-281.1;0;0
6;6;0;0;0
6;7;0;0;0
6;8;-61.29;0;0
7;1;-131.9;0;0
7;2;-135.7;0;0
7;3;-252;0;0
7;4;-273.6;0;0
7;5;-268.8;0;0
7;6;0;0;0
7;7;0;0;0
7;8;5.890;0;0
8;1;342.4;0;0
8;2;220.6;0;0
8;3;372.8;0;0
8;4;203.7;0;0
8;5;-122.4;0;0
8;6;247.0;0;0
8;7;104.9;0;0
8;8;0;0;0
9;1;-159.8;0;0
9;3;-473.2;0;0
9;4;-470.4;0;0
9;5;-63.15;0;0
9;6;-547.2;0;0
9;7;-547.2;0;0
9;8;-595.9;0;0
10;1;66.56;0;0
10;2;306.1;0;0
10;3;-78.31;0;0
10;4;-73.87;0;0
10;5;216.0;0;0
10;6;401.7;0;0
10;7;-127.6;0;0
10;8;634.8;0;0
11;1;146.1;0;0
11;2;517.0;0;0
11;3;-75.3;0;0
11;4;223.2;0;0
11;5;-431.3;0;0
11;6;643.4;0;0
11;7;231.4;0;0
11;8;623.7;0;0
12;1;14.78;0;0
12;3;-10.44;0;0
12;4;-184.9;0;0
12;5;444.7;0;0
12;6;-94.64;0;0
12;7;732.3;0;0
12;8;211.6;0;0
13;1;1744;0;0
13;2;-48.52;0;0
13;3;75.49;0;0
13;4;147.3;0;0
13;5;118.4;0;0
13;6;728.7;0;0
13;7;349.1;0;0
13;8;652.3;0;0
14;1;-320.1;0;0
14;2;485.6;0;0
14;3;114.8;0;0
14;4;-170;0;0
14;5;180.6;0;0
14;6;-76.64;0;0
14;7;-152.8;0;0
14;8;385.9;0;0
15;1;1571;0;0
15;2;76.44;0;0
15;3;52.13;0;0
15;4;65.69;0;0
15;5;137.1;0;0
15;6;-218.1;0;0
15;7;-218.1;0;0
15;8;212.8;0;0
16;1;73.80;0;0
16;2;-24.36;0;0
16;3;4.68;0;0
16;4;122.9;0;0
16;5;455.1;0;0
16;6;351.5;0;0
16;7;351.5;0;0
16;8;770.0;0;0
17;1;27.90;0;0
17;2;-52.71;0;0
17;5;669.2;0;0
17;6;-186.1;0;0
17;7;-401.6;0;0
17;8;740.4;0;0
18;1;21.23;0;0
18;2;-185.1;0;0
18;3;288.5;0;0
18;4;33.61;0;0
18;5;418.4;0;0
18;6;-465.7;0;0
18;7;-465.7;0;0
18;8;793.2;0;0
19;1;89.93;0;0
19;2;-293.7;0;0
19;3;-4.7;0;0
19;4;134.7;0;0
19;5;713.5;0;0
19;6;-260.3;0;0
19;7;512.2;0;0
19;8;1205;0;0
20;1;-59.06;0;0
20;3;777.8;0;0
20;4;-47.13;0;0
20;5;1989;0;0
20;8;390.7;0;0
21;1;29.08;0;0
21;2;34.78;0;0
21;3;56.41;0;0
